ZIP,LAT,LNG
48878,43.706095, -84.779858
48879,43.003075, -84.577361
48880,43.458864, -84.578359
48881,42.933122, -85.201584
48883,43.543727, -84.673886
48884,43.209843, -85.049208
48885,43.242912, -85.147939
48886,43.415719, -85.159692
48888,43.314815, -85.106068
48889,43.285072, -84.806900
48890,42.766874, -84.966363
48891,43.395354, -84.911507
48892,42.632741, -84.166861
48893,43.685543, -84.975050
48894,42.921483, -84.785801
48895,42.688915, -84.279784
48896,43.521275, -84.901027
48897,42.703898, -85.130349
48906,42.788043, -84.589443
48910,42.699177, -84.519955
48911,42.673010, -84.571422
48912,42.738361, -84.524017
48915,42.737952, -84.570937
48917,42.725239, -84.639542
48921,42.721347, -84.560830
48933,42.731996, -84.554683
49001,42.264543, -85.561545
49002,42.195311, -85.562988
49004,42.353583, -85.563941
49006,42.292497, -85.631460
49007,42.302591, -85.588193
49008,42.263841, -85.617047
49009,42.303748, -85.697876
49010,42.533307, -85.874766
49011,42.110137, -85.218699
49012,42.368170, -85.344220
49013,42.305520, -86.108039
49014,42.314556, -85.106213
49015,42.275471, -85.229044
49017,42.401366, -85.215928
49021,42.460434, -85.054743
49022,42.112127, -86.359048
49024,42.206513, -85.617997
49026,42.376862, -85.963435
49027,42.350328, -86.067386
49028,41.851471, -85.190234
49029,42.142409, -85.100314
49030,41.865948, -85.338879
49031,41.904700, -85.974314
49032,41.911488, -85.522870
49033,42.227502, -85.088714
49034,42.233525, -85.341209
49036,41.905480, -85.031277
49037,42.330097, -85.244828
49038,42.202822, -86.320868
49040,41.965721, -85.329273
49042,41.860358, -85.672869
49043,42.285992, -86.268503
49045,42.102102, -85.999123
49046,42.519178, -85.387984
49047,41.999691, -86.118680
49048,42.272936, -85.487782
49050,42.504302, -85.245704
49051,42.184442, -85.242147
49052,42.105747, -85.321815
49053,42.289240, -85.416755
49055,42.368474, -85.857813
49056,42.398286, -86.056215
49057,42.181948, -86.162944
49058,42.636423, -85.299691
49060,42.423536, -85.385970
49061,41.873542, -85.815243
49064,42.220886, -86.049114
49065,42.138273, -85.842108
49066,42.037739, -85.341500
49067,42.024172, -85.798766
49068,42.276445, -84.939742
49070,42.539330, -85.629390
49071,42.226444, -85.775499
49072,42.012051, -85.460189
49073,42.574928, -85.126192
49074,42.317468, -85.538723
49075,41.917513, -85.448603
49076,42.428635, -84.880330
49078,42.472510, -85.732849
49079,42.240155, -85.908075
49080,42.456426, -85.588337
49082,41.941034, -84.876582
49083,42.378110, -85.461128
49084,42.182551, -86.382059
49085,42.054277, -86.462600
49087,42.124219, -85.700691
49088,42.179736, -85.422562
49089,42.004878, -85.236060
49090,42.407427, -86.214544
49091,41.818180, -85.455591
49092,42.098874, -84.978737
49093,41.972834, -85.649934
49094,42.050304, -85.113570
49095,41.911662, -85.889223
49096,42.645178, -85.021222
49097,42.121971, -85.487442
49098,42.163885, -86.239986
49099,41.793262, -85.671752
49101,41.937200, -86.482677
49102,41.949226, -86.252076
49103,41.946299, -86.376474
49104,41.963699, -86.358972
49106,41.938074, -86.554845
49107,41.844909, -86.417637
49111,42.022699, -86.291132
49112,41.796034, -86.030540
49113,41.801056, -86.503854
49115,41.878186, -86.634236
49116,41.853312, -86.663428
49117,41.781671, -86.726836
49119,41.874173, -86.549249
49120,41.832805, -86.230825
49125,41.891897, -86.579415
49126,42.032261, -86.371523
49127,42.010826, -86.515299
49128,41.820406, -86.600497
49129,41.815482, -86.691068
49130,41.774422, -85.860349
49201,42.191346, -84.297205
49202,42.267179, -84.410850
49203,42.221835, -84.396625
49220,41.998622, -84.337415
49221,41.902354, -84.064698
49224,42.279617, -84.746876
49227,41.950018, -84.772966
49228,41.809023, -83.875598
49229,41.987013, -83.827239
49230,42.091609, -84.217344
49232,41.740366, -84.664597
49233,42.061113, -84.362502
49234,42.127037, -84.368713
49235,41.863913, -84.200920
49236,42.075966, -83.941794
49237,42.170452, -84.651490
49238,41.902230, -83.785596
49240,42.283303, -84.181375
49241,42.107843, -84.603335
49242,41.886298, -84.622698
49245,42.139366, -84.811584
49246,42.127790, -84.512436
49247,41.837616, -84.338261
49248,41.756424, -84.011181
49249,42.029334, -84.454755
49250,42.021736, -84.626224
49251,42.466346, -84.407978
49252,42.035237, -84.765398
49253,41.967948, -84.272771
49254,42.227976, -84.316434
49255,41.771201, -84.844550
49256,41.746804, -84.214469
49259,42.374592, -84.261604
49261,42.157638, -84.236000
49262,41.963612, -84.468290
49263,42.158902, -84.184302
49264,42.446232, -84.555061
49265,42.006696, -84.175236
49266,41.839750, -84.546789
49267,41.757323, -83.719429
49268,41.868705, -83.929015
49269,42.287158, -84.593587
49270,41.873675, -83.680783
49271,41.831987, -84.453091
49272,42.393651, -84.348183
49274,41.846682, -84.759784
49276,41.794583, -83.776666
49277,42.388652, -84.469336
49279,41.780799, -84.103949
49282,42.034825, -84.402943
49283,42.207352, -84.550568
49284,42.391636, -84.688297
49285,42.476547, -84.213034
49286,42.010076, -83.927846
49287,42.023030, -84.073485
49288,41.733942, -84.429587
49289,41.768075, -84.107807
49301,42.973443, -85.476998
49302,42.821539, -85.402238
49303,43.271549, -85.860632
49304,43.907821, -85.872637
49305,43.752024, -85.151106
49306,43.075016, -85.565281
49307,43.699062, -85.489194
49309,43.759824, -85.876884
49310,43.513858, -85.047599
49312,43.685372, -85.806607
49315,42.803705, -85.742196
49316,42.793767, -85.550467
49318,43.227276, -85.820431
49319,43.230088, -85.527902
49320,43.753585, -85.275467
49321,43.073608, -85.681875
49322,43.355785, -85.351226
49323,42.728548, -85.790642
49325,42.760797, -85.301726
49326,43.246177, -85.317292
49327,43.323527, -85.845311
49328,42.633680, -85.758168
49329,43.406472, -85.484884
49330,43.241536, -85.736679
49331,42.950193, -85.351989
49332,43.623061, -85.249119
49333,42.699383, -85.461778
49335,42.738506, -85.668451
49336,43.508469, -85.435685
49337,43.423029, -85.718784
49338,43.771655, -85.602264
49339,43.331359, -85.496456
49340,43.617930, -85.110768
49341,43.124135, -85.490928
49342,43.690435, -85.315591
49343,43.297213, -85.535097
49344,42.589905, -85.591301
49345,43.155340, -85.703948
49346,43.594885, -85.421128
49347,43.316687, -85.347044
49348,42.685083, -85.610188
49349,43.575359, -85.748757
49401,42.975656, -85.939287
49402,43.933192, -86.029270
49403,43.140975, -85.857766
49404,43.063438, -85.952185
49405,43.914692, -86.191237
49406,42.642345, -86.202866
49408,42.571678, -86.116236
49410,44.032042, -86.126150
49411,44.100414, -86.251761
49412,43.468461, -85.948247
49415,43.150964, -86.114307
49417,43.019340, -86.157848
49418,42.877992, -85.767881
49419,42.679739, -85.980751
49420,43.719985, -86.282313
49421,43.599328, -86.069388
49423,42.743806, -86.083703
49424,42.843818, -86.134355
49425,43.428815, -86.089288
49426,42.863270, -85.887574
57553,44.474594,-101.645588
57555,43.243287,-100.610812
57559,43.936209,-100.723479
57560,43.439227,-101.190933
57562,43.897568,-100.958429
