ZIP,LAT,LNG
65486,38.108287, -92.328061
65501,37.462127, -91.566241
65529,37.922028, -91.991962
65534,37.690279, -92.284280
65535,38.070003, -91.274154
65536,37.687690, -92.644458
65541,37.646612, -91.772723
65542,37.495709, -91.883745
65543,37.453945, -92.290231
65548,37.012976, -91.712643
65550,37.823651, -91.955501
65552,37.534694, -92.165645
65555,37.367583, -91.767023
65556,37.836155, -92.408884
65557,37.509813, -92.100972
65559,38.024924, -91.610018
65560,37.596621, -91.503902
65564,37.225456, -91.971047
65565,37.892886, -91.241936
65566,37.720734, -91.126642
65567,37.865133, -92.535705
65570,37.452634, -92.094798
65571,37.186248, -91.623030
65580,38.116505, -91.789901
65582,38.204152, -91.926434
65583,37.828481, -92.257638
65584,37.828203, -92.131212
65586,37.849588, -91.431656
65588,36.982163, -91.272720
65589,37.245475, -91.838239
65590,37.606148, -92.951287
65591,37.938453, -92.640747
65601,37.539863, -93.588003
65603,37.556769, -93.865230
65604,37.269914, -93.598471
65605,36.771716, -93.654747
65606,36.697248, -91.359401
65608,36.898668, -92.677707
65609,36.542285, -92.151540
65610,37.030759, -93.530942
65611,36.549846, -93.372149
65612,37.213797, -93.538811
65613,37.636902, -93.396427
65614,36.754012, -92.910399
65616,36.669373, -93.248879
65617,37.437614, -93.334662
65618,36.733049, -92.359584
65619,37.121719, -93.394691
65620,37.026782, -92.945631
65622,37.633024, -93.103604
65623,36.748816, -93.906409
65624,36.730202, -93.566299
65625,36.674069, -93.816497
65626,36.594943, -92.130859
65627,36.566955, -93.032874
65629,36.891489, -93.000589
65630,36.832959, -93.213650
65631,37.000699, -93.423999
65632,37.497907, -92.809930
65633,36.894781, -93.534748
65634,38.015397, -93.194616
65635,37.531741, -93.717143
65637,36.756411, -92.180227
65638,36.840446, -92.325318
65640,37.698467, -93.566848
65641,36.543773, -93.769176
65644,37.510802, -93.037975
65646,37.333448, -93.703246
65647,36.692960, -94.007064
65648,37.408797, -93.166477
65649,37.617274, -93.623215
65650,37.813994, -93.441928
65652,37.133087, -92.949997
65653,36.840830, -93.140383
65654,37.022203, -93.909637
65655,36.595898, -92.425548
65656,36.793766, -93.467830
65657,36.838288, -93.007588
65658,36.540154, -93.637963
65660,37.334212, -92.273898
65661,37.467688, -93.825199
65662,37.446733, -92.570452
65663,37.623371, -93.246727
65664,37.198054, -93.615176
65667,37.308459, -92.514047
65668,37.930666, -93.288163
65669,36.911907, -93.302603
65672,36.560353, -93.219489
65674,37.785786, -93.607277
65676,36.572170, -92.615940
65679,36.574234, -93.094922
65680,36.653164, -93.003455
65681,36.550848, -93.461857
65682,37.411878, -93.961715
65685,37.751809, -93.167250
65686,36.626973, -93.444015
65689,37.144422, -92.092870
65690,36.589090, -91.279346
65692,36.627591, -91.631413
65702,37.070728, -92.493547
65704,37.127620, -92.586107
65705,36.988363, -93.621412
65706,37.322820, -92.898635
65707,37.233674, -93.843315
65708,36.902894, -93.911536
65710,37.485556, -93.421088
65711,37.176383, -92.275679
65712,37.110674, -93.800291
65713,37.404644, -92.746951
65714,37.041064, -93.321072
65715,36.731375, -92.574001
65717,37.060440, -92.416048
65720,36.940563, -92.950037
65721,36.982818, -93.209226
65722,37.582915, -92.805465
65723,36.958625, -94.040320
65724,37.845618, -93.312279
65725,37.433355, -93.288172
65727,37.755095, -93.294846
65728,36.871381, -93.345561
65729,36.513960, -92.592739
65730,36.623694, -94.177289
65731,36.653457, -93.125924
65732,37.941693, -93.161545
65733,36.527116, -92.849419
65734,36.795214, -93.941817
65735,38.039920, -93.458727
65737,36.711111, -93.359338
65738,37.139280, -93.506398
65739,36.510959, -93.274159
65740,36.713574, -93.163478
65742,37.125343, -93.088984
65744,36.622787, -92.897552
65745,36.530708, -93.970641
65746,37.146190, -92.778195
65747,36.600861, -93.580084
65752,37.327705, -93.830886
65753,37.004186, -93.043298
65754,36.836654, -93.281437
65755,36.829114, -92.623004
65756,37.098035, -93.973906
65757,37.282791, -93.099771
65759,36.753545, -93.061052
65760,36.624668, -92.292149
65761,36.576449, -92.724984
65762,36.684886, -92.651285
65764,37.814520, -92.948674
65766,36.536052, -92.268646
65767,37.852251, -93.155937
65768,36.919435, -92.270035
65769,36.919096, -93.799405
65770,37.422627, -93.548226
65771,36.772472, -93.206420
65772,36.597951, -94.024931
65773,36.762508, -92.501811
65774,37.930273, -93.489344
65775,36.700074, -91.858053
65777,36.525746, -91.997786
65778,36.530448, -91.271025
65779,37.977567, -93.378863
65781,37.355541, -93.417569
65783,37.714570, -92.933321
65784,36.679888, -92.313911
65785,37.708475, -93.825054
65786,37.964471, -92.962937
65787,38.070593, -92.883347
65788,36.806689, -91.694945
65789,36.862869, -91.873714
65790,36.703024, -92.109540
65791,36.579155, -91.497230
65793,36.991559, -91.971986
65802,37.207450, -93.354612
65803,37.283189, -93.289821
65804,37.150498, -93.251921
65806,37.205585, -93.299157
65807,37.167533, -93.324773
65809,37.166589, -93.182484
65810,37.119720, -93.309724
66002,39.538742, -95.137635
66006,38.804266, -95.232670
66007,39.156186, -94.941707
66008,39.718181, -95.176388
66010,38.088217, -94.979170
66012,39.066521, -94.920179
66013,38.730666, -94.695551
66014,38.228845, -94.987105
66015,38.074849, -95.413199
66016,39.475168, -95.231745
66017,39.703716, -95.273961
66018,38.963864, -94.967153
66019,38.945440, -95.003284
66020,39.339341, -95.116107
66021,38.766280, -95.015000
66023,39.512289, -95.392403
66024,39.736869, -94.881484
66025,38.891903, -95.083340
66026,38.395871, -94.866312
66027,39.368428, -94.911265
66030,38.815137, -94.940266
66031,38.831963, -94.890082
66032,38.286777, -95.278214
66033,38.363290, -95.122266
66035,39.870996, -95.253591
66039,38.104411, -95.164855
66040,38.354477, -94.748388
66041,39.600303, -95.307974
66042,38.422786, -95.079886
66043,39.252392, -94.879551
66044,39.023294, -95.208909
66045,38.958845, -95.247749
66046,38.904524, -95.209753
66047,38.893051, -95.346160
66048,39.282330, -94.995995
66049,38.978096, -95.344129
66050,39.011834, -95.442516
66052,39.015766, -95.048266
66053,38.581078, -94.668065
66054,39.206199, -95.198350
66056,38.151453, -94.844282
66058,39.541067, -95.520384
66060,39.418161, -95.332230
66061,38.893764, -94.879975
66062,38.835491, -94.778691
66064,38.480714, -94.988936
66066,39.203002, -95.330593
66067,38.623617, -95.276284
66070,39.205690, -95.450917
66071,38.573078, -94.864562
66072,38.309431, -94.963963
66073,39.082417, -95.368342
66075,38.200521, -94.693412
66076,38.632455, -95.443013
66078,38.484690, -95.258501
66079,38.542467, -95.108134
66080,38.408100, -95.259688
66083,38.732299, -94.830141
66085,38.798768, -94.656684
66086,39.119526, -95.081230
66087,39.802081, -95.122122
66088,39.339329, -95.461198
66090,39.787949, -94.973367
