ZIP,LAT,LNG
85931,34.370005,-110.915647
85932,33.953341,-109.213499
85933,34.357093,-110.509263
85934,34.300249,-110.245734
85935,34.119928,-109.896691
85936,34.652683,-109.268741
85937,34.573702,-110.064102
85938,34.149301,-109.336532
85939,34.431429,-110.085261
85940,34.251663,-109.682257
85941,33.821391,-109.969827
85942,34.735705,-109.954702
86001,35.287661,-111.639303
86003,35.189708,-111.224015
86004,35.380939,-111.373463
86011,35.180062,-111.655035
86015,35.231565,-111.840210
86016,35.752462,-111.641148
86017,34.889056,-111.626153
86018,35.188711,-111.916131
86020,35.992798,-111.497817
86021,36.972279,-113.024318
86022,36.856316,-112.836996
86023,36.033131,-112.022616
86024,34.668857,-111.312066
86025,34.930781,-110.104808
86028,35.073743,-109.764592
86029,35.021012,-109.992631
86030,35.968491,-110.730472
86031,35.386597,-110.051698
86032,35.079610,-110.283924
86033,36.675775,-110.228223
86034,35.794204,-110.125868
86035,35.456718,-110.944184
86036,36.738246,-111.823136
86038,34.984363,-111.429984
86039,36.055803,-110.525216
86040,36.705496,-111.427538
86042,35.861758,-110.384151
86043,35.809701,-110.533441
86044,36.693191,-110.810271
86045,36.096446,-111.116416
86046,35.415916,-112.124547
86047,35.113436,-110.671248
86052,36.147232,-112.030212
86053,36.735052,-111.055195
86054,36.724637,-110.612172
86301,34.587023,-112.429033
86303,34.482405,-112.449649
86305,34.864326,-112.911764
86313,34.553602,-112.452420
86314,34.625990,-112.306211
86315,34.703438,-112.270167
86320,35.346130,-112.645484
86321,34.492831,-113.103111
86322,34.500279,-111.801158
86323,34.778347,-112.407143
86324,34.857441,-112.120427
86325,34.734563,-111.897926
86326,34.700031,-112.023634
86327,34.571319,-112.105020
86329,34.471629,-112.224998
86331,34.726842,-112.143872
86332,34.320536,-112.632932
86333,34.323041,-112.081970
86334,34.949042,-112.544560
86335,34.694723,-111.673152
86336,34.909886,-111.867252
86337,35.359789,-113.031101
86338,34.581751,-112.753836
86343,34.176983,-112.299986
86351,34.778447,-111.785069
86401,35.131719,-113.703932
86403,34.480257,-114.348504
86404,34.590050,-114.307833
86406,34.423236,-114.109863
86409,35.461006,-114.018060
